,sustainability,sustainable,renewable,climate change,green energy,carbon neutral,greening,clean energy,esg,greenhouse gas,recycle,circular economy,zero emissions,environmentally friendly,URL
149,0,0,0,11,0,0,0,0,0,8,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1539838/000153983815000005/a12311410-k.htm
150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1551152/000104746915000995/a2223058z10-k.htm
151,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/etn12312014form10-k.htm
152,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1555280/000155528015000057/zoetis-20141231x10kye.htm
153,0,0,2,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1571949/000157194915000003/ice2014123110k.htm
154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1579241/000157924115000005/alle-10kx12312014doc.htm
155,2,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1585689/000158568915000032/a2014hwh10-k.htm
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1590955/000119312515065707/d851377d10k.htm
157,0,0,3,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1596532/000159653215000004/anet20141231-10k.htm
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1601712/000160171215000007/synchrony1231201410k.htm
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/1800/000104746915001377/a2222655z10-k.htm
160,0,0,0,2,0,0,0,0,0,2,0,0,0,0,https://www.sec.gov/Archives/edgar/data/18230/000001823015000061/cat_10-kx12312014.htm
161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/18926/000001892615000008/ctl-2014123110k.htm
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/19617/000001961715000272/corp10k2014.htm
163,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/a2014122810-k.htm
164,1,1,0,5,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/20286/000002028615000011/cinf-20141231x10k.htm
165,4,7,2,6,0,0,3,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/a2014123110-k.htm
166,4,1,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/cl-12312014x10k.htm
167,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/217346/000110465915013784/a14-26298_110k.htm
168,5,1,0,2,0,0,0,1,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/24545/000002454515000004/tap2014123110-k.htm
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/24741/000002474115000015/form10k2014.htm
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/2488/000119312515054362/d871455d10k.htm
171,6,0,2,0,0,0,0,0,0,3,0,0,0,0,https://www.sec.gov/Archives/edgar/data/26172/000002617215000007/cmi2014currentq410-kdocume.htm
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/tgt-20150131x10k.htm
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/277135/000027713515000005/gww20141231-10k.htm
174,1,1,0,2,0,0,0,0,0,0,0,0,0,1,https://www.sec.gov/Archives/edgar/data/277948/000027794815000010/csx-12262014x10k.htm
175,0,0,15,3,0,0,0,0,0,9,0,0,0,0,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/dal1231201410k.htm
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/28412/000002841215000031/a201410k.htm
177,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/a2223543z10-k.htm
178,5,1,0,3,0,0,0,0,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/29905/000002990515000007/a2014123110-k.htm
179,0,0,0,2,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/29989/000002998915000003/a201410-k.htm
180,1,3,3,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/30625/000003062515000021/fls12312014financialstatem.htm
181,0,2,0,2,0,0,0,0,0,1,0,0,0,0,https://www.sec.gov/Archives/edgar/data/310158/000031015815000005/mrk1231201410k.htm
182,5,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/310764/000031076415000022/syk10k12312014.htm
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/313616/000031361615000038/dhr-20141231x10xk.htm
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.sec.gov/Archives/edgar/data/313927/000156459015000786/chd-10k_20141231.htm
185,6,0,0,3,0,0,0,0,0,5,0,0,0,0,https://www.sec.gov/Archives/edgar/data/31462/000110465915014788/a14-25700_110k.htm
